"Date","State","Sector","Mode","Installed Capacity"
"20-07-2019","Andaman & Nicobar Islands","STATE SECTOR","Thermal","40.048"
"20-07-2019","Andaman & Nicobar Islands","STATE SECTOR","Nuclear","0"
"20-07-2019","Andaman & Nicobar Islands","STATE SECTOR","Hydro","0"
"20-07-2019","Andaman & Nicobar Islands","STATE SECTOR","RES","5.25"
"20-07-2019","Andaman & Nicobar Islands","PVT SECTOR","Thermal","0"
"20-07-2019","Andaman & Nicobar Islands","PVT SECTOR","Nuclear","0"
"20-07-2019","Andaman & Nicobar Islands","PVT SECTOR","Hydro","0"
"20-07-2019","Andaman & Nicobar Islands","PVT SECTOR","RES","6.63"
"20-07-2019","Andaman & Nicobar Islands","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Andaman & Nicobar Islands","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Andaman & Nicobar Islands","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Andaman & Nicobar Islands","CENTRAL SECTOR","RES","5.1"
"20-07-2019","Andhra Pradesh.","STATE SECTOR","Thermal","5245.4"
"20-07-2019","Andhra Pradesh.","STATE SECTOR","Nuclear","0"
"20-07-2019","Andhra Pradesh.","STATE SECTOR","Hydro","1610"
"20-07-2019","Andhra Pradesh.","STATE SECTOR","RES","56.176"
"20-07-2019","Andhra Pradesh.","PVT SECTOR","Thermal","9261.8"
"20-07-2019","Andhra Pradesh.","PVT SECTOR","Nuclear","0"
"20-07-2019","Andhra Pradesh.","PVT SECTOR","Hydro","0"
"20-07-2019","Andhra Pradesh.","PVT SECTOR","RES","7657.034"
"20-07-2019","Andhra Pradesh.","CENTRAL SECTOR","Thermal","2000"
"20-07-2019","Andhra Pradesh.","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Andhra Pradesh.","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Andhra Pradesh.","CENTRAL SECTOR","RES","250"
"20-07-2019","Arunachal Pradesh","STATE SECTOR","Thermal","0"
"20-07-2019","Arunachal Pradesh","STATE SECTOR","Nuclear","0"
"20-07-2019","Arunachal Pradesh","STATE SECTOR","Hydro","0"
"20-07-2019","Arunachal Pradesh","STATE SECTOR","RES","107.105"
"20-07-2019","Arunachal Pradesh","PVT SECTOR","Thermal","0"
"20-07-2019","Arunachal Pradesh","PVT SECTOR","Nuclear","0"
"20-07-2019","Arunachal Pradesh","PVT SECTOR","Hydro","0"
"20-07-2019","Arunachal Pradesh","PVT SECTOR","RES","29.39"
"20-07-2019","Arunachal Pradesh","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Arunachal Pradesh","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Arunachal Pradesh","CENTRAL SECTOR","Hydro","515"
"20-07-2019","Arunachal Pradesh","CENTRAL SECTOR","RES","0"
"20-07-2019","Assam","STATE SECTOR","Thermal","328.205"
"20-07-2019","Assam","STATE SECTOR","Nuclear","0"
"20-07-2019","Assam","STATE SECTOR","Hydro","100"
"20-07-2019","Assam","STATE SECTOR","RES","5.01"
"20-07-2019","Assam","PVT SECTOR","Thermal","24.5"
"20-07-2019","Assam","PVT SECTOR","Nuclear","0"
"20-07-2019","Assam","PVT SECTOR","Hydro","0"
"20-07-2019","Assam","PVT SECTOR","RES","33.44"
