Sl. No.,States/ UTs,Total cumulative Wind Power capacity installed (MW),Total cumulative Solar Power capacity installed (MW)
1,Andhra Pradesh,3721.25,2010.87
2,Arunachal Pradesh,NA,0.27
3,Bihar,NA,111.52
4,Chhattisgarh,NA,128.86
5,Gujarat,5434.37,1262.1
6,Haryana,NA,81.4
7,Jharkhand,NA,23.27
8,Karnataka,3774.7,1180.38
9,Kerala,51.5,74.2
10,Madhya Pradesh,2497.79,857.04
11,Maharashtra,4771.33,452.36
12,Odisha,NA,79.42
13,Punjab,NA,809.45
14,Rajasthan,4281.72,1961.21
15,Tamil Nadu,7870.41,1697.32
16,Telangana,100.8,1609.27
17,Tripura,NA,5.09
18,Uttar Pradesh,NA,359
19,Uttarakhand,NA,233.48
20,West Bengal,NA,26.14
21,Andaman & Nicobar,NA,6.56
22,Delhi,NA,40.27
23,Lakshadweep,NA,0.75
24,Puducherry,NA,0.08
25,Chandigarh,NA,17.32
26,Dadra and Nagar Haveli,NA,2.97
27,Goa,NA,0.71
28,Manipur,NA,0.03
29,Meghalaya,NA,0.01
30,Nagaland,NA,0.5
31,Daman & Diu,NA,10.46
32,J&K,NA,1.36
33,Himachal Pradesh,NA,0.73
34,Mizoram,NA,0.1
35,Assam,NA,11.78
36,Others/ data from rooftop division cumulative,4.3,58.31
Total,Total,32508.17,13114.59
