State,Capacity
Delhi,2762
Haryana,4142
Himachal Pradesh,776
Jammu and Kashmir,1155
Punjab,4772
Rajasthan,5762
Uttar Pradesh,10697
Uttaranchal,900
Chandigarh,153
Goa,358
Gujarat,8020
Chhattisgarh,1783
Madhya Pradesh,5675
Maharashtra,11926
Dadra and Nagar Haveli,449
Daman and Diu,199
Andhra Pradesh,4917
Telangana,4917
Karnataka,5697
Kerala,1870
Tamil Nadu,8884
Puducherry,246
Bihar,2493
Jharkhand,1995
Orissa,2377
West Bengal,5336
Sikkim,36
Assam,663
Manipur,105
Meghalaya,161
Nagaland,61
Tripura,105
Arunachal Pradesh,39
Mizoram,72
Andaman and Nicobar,27
Lakshadweep,4
